2025-03-30 10:08:48 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 10:08:48 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 10:08:48 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 10:08:48 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 10:08:48 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 10:08:48 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 10:10:32 [INFO]: Пользователь подключился, userId: null
2025-03-30 11:49:06 [INFO]: Сервер запущен на порту 3000
2025-03-30 11:49:06 [INFO]: Успешно подключено к базе данных PostgreSQL
2025-03-30 11:49:06 [INFO]: Пользователь подключился, userId: null
2025-03-30 11:49:23 [INFO]: Пользователь подключился, userId: null
2025-03-30 11:50:59 [INFO]: Пользователь подключился, userId: null
2025-03-30 11:51:09 [INFO]: Сервер запущен на порту 3000
2025-03-30 11:51:09 [INFO]: Успешно подключено к базе данных PostgreSQL
2025-03-30 11:51:09 [INFO]: Пользователь подключился, userId: null
2025-03-30 11:51:11 [INFO]: Пользователь подключился, userId: null
2025-03-30 11:51:40 [INFO]: Пользователь подключился, userId: null
2025-03-30 11:51:46 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 11:51:46 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 11:51:46 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 11:51:46 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 11:51:48 [INFO]: Пользователь подключился, userId: null
2025-03-30 12:00:36 [INFO]: Пользователь подключился, userId: null
2025-03-30 12:04:13 [INFO]: Сервер запущен на порту 3000
2025-03-30 12:04:13 [INFO]: Пользователь подключился, userId: null
2025-03-30 12:04:13 [INFO]: Успешно подключено к базе данных PostgreSQL
2025-03-30 12:04:20 [INFO]: Пользователь подключился, userId: null
2025-03-30 12:05:37 [INFO]: Пользователь подключился, userId: null
2025-03-30 12:10:00 [INFO]: Пользователь user2@example.com вошёл в систему
2025-03-30 12:10:04 [INFO]: Пользователь подключился, userId: 2
2025-03-30 12:12:11 [INFO]: Пользователь подключился, userId: 2
2025-03-30 12:12:13 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
